"word","formal","lazy","keyer","usage","hint"
"??clat","e-k-l-a","","","",""
"a","h","","","",""
"a hundred years ago","^-h-\-/-n-e-r-g","","","",""
"a posteriori","a-p-o-s2-t-r-r-i","","","",""
"a priori","a-p-r-r-i","","","",""
"a.m.","a-<-m","","","",""
"abandon","a-b-a-nt","","","",""
"abbey","a-b-e","","","",""
"abbreviate","a-br-e-v","","","",""
"abbreviation","a-br-e-v","","","",""
"abed","a-b-d","","","",""
"abeyance","a-b-a-n-s","","","",""
"abide","a-b-i","","","",""
"ability","a-/-b","","","",""
"able","a-bl","","","",""
"able to say","a-bl-s-a","","","",""
"ablution","a-bl-sh","","","",""
"abnormal","a-b-n-o-m-l","","","",""
"aboard","a-b-o-d","","","",""
"abolish","a-b-o-l-sh","","","",""
"abolition","a-b-o-l-e-sh","","","",""
"aboriginal","a-b-o-r-e-j","","","",""
"abound","a-b-n","","","",""
"about","a-b","","","",""
"about how many","a-b-mn-e","","","",""
"about the","a-b-th","","","",""
"above","a-b-v","","","",""
"abroad","a-br-o-d","","","",""
"abrupt","a-br-p","","","",""
"abscond","a-b-s2-k-nt","","","",""
"absence","a-b-s","","","",""
"absent","a-b-s","","","",""
"absentee","a-b-s-e","","","",""
"absently","a-b-s-e","","","",""
"absolute","a-b-s2-o","","","",""
"absolutism","a-b-s2-o-s2-m","","","",""
"absorb","a-b-s2-o-b","","","",""
"absorption","a-b-s2-o-p-sh","","","",""
"abstain","a-b-s2-tn","","","",""
"abstemious","a-b-s2-tm-u-s","","","",""
"abstr-","a-b-/","","","",""
"abstract","a-b-s2-k","","","",""
"absurd","a-b-s2-e2-d","","","",""
"absurdity","a-b-s2-e2-td-e","","","",""
"abundant","a-b-n-tn","","","",""
"abuse","a-b-e-u","","","",""
"academy","a-k-a-tm-e","","","",""
"accept","a-k-s2","","","",""
"acceptable","a-k-s-b","","","",""
"acceptance","a-k-s2","","","",""
"access","a-k-ss","","","",""
"accessible","a-k-ss","","","",""
"accident","a-k-s","","","",""
"accidental","a-k-s-l","","","",""
"accommodate","a-k-td","","","",""
"accommodation","a-k-d-sh","","","",""
"accompany","a-k-p-e","","","",""
"accompany ","a-k-p","","","",""
"accomplice","a-k-pl-e-s","","","",""
"accomplish","a-k-p","","","",""
"accord","a-k-r","","","",""
"accordance","a-k-r-n-s","","","",""
"according to my","a-k-r-m-a","","","",""
"accordingly","a-k-r-/-e","","","",""
"accordion","a-k-o-tn","","","",""
"account","a-k-t","","","",""
"accountant","a-k-tn","","","",""
"accounting department","a-k-t-/-d","","","",""
"accredit","a-k-r-e","","","",""
"accredits","a-k-r-e-s","","","",""
"accretion","a-k-r-e-sh","","","",""
"accrued","a-k-r-u-d","","","",""
"accumulate","a-k-/-u","","","",""
"accurate","a-k-r-a","","","",""
"accused","a-k-e-u-/-t","","","",""
"accustomed","a-k-u-s-/-t","","","",""
"acerbity","a-s-e-b-t-e","","","",""
"acetate","a-s2-e-t-a","","","",""
"acetic","a-s-/-a","","","",""
"ache","a-k","","","",""
"acknowledge","a-k","","","",""
"acknowledge receipt","a-k-r-e-s-e","","","",""
"acknowledgment","a-k-m","","","",""
"acolyte","a-k-o-l-i","","","",""
"aconite","a-k-n-i","","","",""
"acorn","a-k-o-n","","","",""
"acoustic","a-k-/-s2-t","","","",""
"acquaint","a-k-a","","","",""
"acquaintance","a-k-a","","","",""
"acquainted","a-k-a-/-t","","","",""
"acquiesce","a-k-w-e-s","","","",""
"acquire","a-k-i","","","",""
"acquisition","a-k-e-s-sh","","","",""
"acquisitive","a-k-e-s2-df","","","",""
"acre","a-k-r","","","",""
"acres","a-k-r-s","","","",""
"acrimonious","a-k-r-e-mn-u-s","","","",""
"acrobat","a-k-r-o-b-t","","","",""
"acrobatic","a-k-r-o-b-/-a","","","",""
"acropolis","a-k-r-p","","","",""
"across","a-k-r-s","","","",""
"acrostic","a-k-r-/-s2-t","","","",""
"act","a-k","","","",""
"acted","a-k-t","","","",""
"action","a-k-sh","","","",""
"active","a-k-v","","","",""
"activity","a-k-v-t-e","","","",""
"actor","a-k-r","","","",""
"actress","a-k-r-e-s","","","",""
"acts","a-k-s","","","",""
"actual","a-k-t-l","","","",""
"actually","a-k-t-l-e","","","",""
"actuary","a-k-t-r-e","","","",""
"actuate","a-k-t-e-u-t","","","",""
"ad valorem","a-d-<-v","","","",""
"adage","a-d-j","","","",""
"adamantine","a-d-a-mn-tn","","","",""
"adapted","a-d-a-p-/-t","","","",""
"add","a-d","","","",""
"added","a-td","","","",""
"addenda","a-tn-d-a","","","",""
"addendum","a-tn-tm","","","",""
"addition","a-d-sh","","","",""
"additionally","a-d-sh-ya","","","",""
"address","a-d-r","","","",""
"addressed","a-d-r-/-t","","","",""
"adds","a-d-s","","","",""
"adduce","a-d-u-s","","","",""
"adenoid","a-tn-o-e","","","",""
"adept","a-d-e-p","","","",""
"adequacy","a-d-e-k-s-e","","","",""
"adequate","a-d-e-k","","","",""
"adhere","a-d-^-h-\-e2","","","",""
"adieu","a-d-e-u","","","",""
"adjacent","a-j-a-s","","","",""
"adjective","a-j-k-v","","","",""
"adjourned","a-j-e2-nt","","","",""
"adjudicate","a-j-d-e-k","","","",""
"adjust","a-j-u-s","","","",""
"adjust the matter","a-j-u-s2-m-a-t","","","",""
"adjusted","a-j-u-s-/-t","","","",""
"adjustment","a-j-u-s2-m","","","",""
"adjutant","a-j-u-tn","","","",""
"administer","a-mn-e-s","","","",""
"administration","a-mn-e-s-sh","","","",""
"administrative","a-mn-e-s-/-v","","","",""
"administrator","a-mn-r","","","",""
"admirable","a-m-e-r-b","","","",""
"admiral","a-m-e-r-l","","","",""
"admiration","a-m-e-r-a-sh","","","",""
"admire","m-i2","","","",""
"admission","a-m-sh","","","",""
"admit","a-m-e-t","","","",""
"admitted","a-m-e-td","","","",""
"admixture","a-m-e-x-t-r","","","",""
"admonish","a-nm-sh","","","",""
"admonition","a-nm-sh","","","",""
"adopt","a-d-p","","","",""
"adopted","a-d-p-/-t","","","",""
"adorable","a-d-o-r-b","","","",""
"adore","a-d-o-r","","","",""
"adorn","a-d-o-n","","","",""
"adornment","a-d-o-mn","","","",""
"adroit","a-d-r-o-e","","","",""
"adsorption","a-d-s2-o-p-sh","","","",""
"adult","a-d-u-l","","","",""
"adulterate","a-d-u-l-r-a","","","",""
"adumbration","a-tm-br-a-sh","","","",""
"advance","v-a-n-s","","","",""
"advantage","a-v","","","",""
"advantageous","a-v-u-s","","","",""
"adventitious","a-v-nt-e-sh","","","",""
"adventure","a-v-nt-r","","","",""
"adverbial","a-v-e-r-bl","","","",""
"adverse","a-v-e-s","","","",""
"advert","a-v-e-t","","","",""
"advertise","a-v-t","","","",""
"advertisement","a-v-t-m","","","",""
"advertising agent","a-v-t-/-a","","","",""
"advice","v-i-s","","","",""
"advisable","v-i-s-b","","","",""
"advise","v-i-s","","","",""
"advised","v-i-s2-d","","","",""
"advocate","a-v-k-a-t","","","",""
"adz","a-d-s","","","",""
"aerate","a-r-a-t","","","",""
"aerial","a-r-l","","","",""
"aesthetic","e-s2-th-/-a","","","",""
"affable","a-f-b","","","",""
"affair","a-f-a-r","","","",""
"affairs","a-f-a-r-s","","","",""
"affect","a-f-k","","","",""
"affected","a-f-k-t","","","",""
"affection","a-f-k-sh","","","",""
"affectionate","a-f-k-sh-a-t","","","",""
"affectionately","a-f-k-sh-a-t-e","","","",""
"affiance","a-f-i-n-s","","","",""
"affidavit","a-f-df","","","",""
"affirm","a-f-e-m","","","",""
"afflict","a-fl","","","",""
"afford","a-f-d","","","",""
"affright","a-fr-i","","","",""
"Afghanistan","a-f-g-a-n","","","",""
"aforementioned","a-f-mn-sh-d","","","",""
"aforesaid","a-f-s22-e-d","","","",""
"afraid","fr-a","","","",""
"Africa","a-fr","","","",""
"after","a-f","","","",""
"after-dinner","a-f-tn-r","","","",""
"afternoon","a-f-n-u-n","","","",""
"afterwards","a-f-d-s","","","",""
"again","a-g-n","","","",""
"against","a-g-n-s","","","",""
